STATE,DEAD_DELIVERIES
ALABAMA,1680
ARIZONA,247
ARKANSAS,861
CALIFORNIA,675
COLORADO,93
CONNECTICUT,52
DELAWARE,13
FLORIDA,904
GEORGIA,897
IDAHO,115
ILLINOIS,583
INDIANA,225
IOWA,57
KANSAS,127
KENTUCKY,143
LOUISIANA,565
MAINE,21
MARYLAND,342
MASSACHUSETTS,133
MICHIGAN,133
MINNESOTA,143
MISSISSIPPI,1088
MISSOURI,248
MONTANA,65
NEBRASKA,55
NEVADA,74
NEW HAMPSHIRE,14
NEW JERSEY,97
NEW MEXICO,56
NEW YORK,128
NORTH CAROLINA,370
NORTH DAKOTA,13
OHIO,292
OKLAHOMA,260
OREGON,158
PENNSYLVANIA,291
RHODE ISLAND,13
SOUTH CAROLINA,511
SOUTH DAKOTA,60
TENNESSEE,394
TEXAS,1578
UTAH,74
VERMONT,3
VIRGINIA,181
WASHINGTON,210
WEST VIRGINIA,62
WISCONSIN,97
WYOMING,61
