STATE,LOAD_VOLUME
ALABAMA,5599.0
ARIZONA,824.0
ARKANSAS,2871.0
CALIFORNIA,2250.0
COLORADO,311.0
CONNECTICUT,175.0
DELAWARE,44.0
FLORIDA,3013.0
GEORGIA,2991.0
IDAHO,383.0
ILLINOIS,1944.0
INDIANA,749.0
IOWA,190.0
KANSAS,424.0
KENTUCKY,476.0
LOUISIANA,1883.0
MAINE,69.0
MARYLAND,1139.0
MASSACHUSETTS,443.0
MICHIGAN,443.0
MINNESOTA,476.0
MISSISSIPPI,3626.0
MISSOURI,828.0
MONTANA,216.0
NEBRASKA,182.0
NEVADA,248.0
NEW HAMPSHIRE,45.0
NEW JERSEY,323.0
NEW MEXICO,186.0
NEW YORK,427.0
NORTH CAROLINA,1234.0
NORTH DAKOTA,42.0
OHIO,972.0
OKLAHOMA,865.0
OREGON,527.0
PENNSYLVANIA,970.0
RHODE ISLAND,44.0
SOUTH CAROLINA,1703.0
SOUTH DAKOTA,199.0
TENNESSEE,1312.0
TEXAS,5260.0
UTAH,247.0
VERMONT,9.0
VIRGINIA,602.0
WASHINGTON,699.0
WEST VIRGINIA,207.0
WISCONSIN,324.0
WYOMING,204.0
