id,metadata,name,value
1,[],Alabama,[3.453]
4,[],Arizona,[3.652]
5,[],Arkansas,[3.381]
6,[],California,[5.19]
8,[],Colorado,[3.425]
9,[],Connecticut,[3.814]
10,[],Delaware,[3.764]
12,[],Florida,[3.724]
13,[],Georgia,[3.595]
16,[],Idaho,[3.928]
17,[],Illinois,[3.769]
18,[],Indiana,[3.802]
19,[],Iowa,[3.533]
20,[],Kansas,[3.439]
21,[],Kentucky,[3.403]
22,[],Louisiana,[3.341]
23,[],Maine,[3.89]
24,[],Maryland,[3.776]
25,[],Massachusetts,[3.859]
26,[],Michigan,[3.731]
27,[],Minnesota,[3.618]
28,[],Mississippi,[3.298]
29,[],Missouri,[3.395]
30,[],Montana,[3.649]
31,[],Nebraska,[3.431]
32,[],Nevada,[3.965]
33,[],New Hampshire,[3.82]
34,[],New Jersey,[3.696]
35,[],New Mexico,[3.441]
36,[],New York,[3.929]
37,[],North Carolina,[3.535]
38,[],North Dakota,[3.424]
39,[],Ohio,[3.708]
40,[],Oklahoma,[3.278]
41,[],Oregon,[4.5]
42,[],Pennsylvania,[4.022]
44,[],Rhode Island,[3.805]
45,[],South Carolina,[3.507]
46,[],South Dakota,[3.361]
47,[],Tennessee,[3.435]
48,[],Texas,[3.264]
49,[],Utah,[3.709]
50,[],Vermont,[3.853]
51,[],Virginia,[3.634]
53,[],Washington,[5.022]
54,[],West Virginia,[3.602]
55,[],Wisconsin,[3.541]
56,[],Wyoming,[3.588]
