id,metadata,name,value
1,[],Alabama,[0.64]
4,[],Arizona,[0.3]
5,[],Arkansas,[3.47]
6,[],California,[1.68]
8,[],Colorado,[0.62]
9,[],Connecticut,[0.44]
10,[],Delaware,[4.12]
12,[],Florida,[0.15]
13,[],Georgia,[0.84]
16,[],Idaho,[3.74]
17,[],Illinois,[1.33]
18,[],Indiana,[1.46]
19,[],Iowa,[1.44]
20,[],Kansas,[2.51]
21,[],Kentucky,[0.65]
22,[],Louisiana,[0.88]
23,[],Maine,[0.67]
24,[],Maryland,[0.63]
25,[],Massachusetts,[0.74]
26,[],Michigan,[0.93]
27,[],Minnesota,[1.16]
28,[],Mississippi,[1.44]
29,[],Missouri,[2.24]
30,[],Montana,[0.4]
31,[],Nebraska,[1.06]
32,[],Nevada,[0.82]
33,[],New Hampshire,[0.65]
34,[],New Jersey,[1.8]
35,[],New Mexico,[1.66]
36,[],New York,[0.82]
37,[],North Carolina,[0.9]
38,[],North Dakota,[2.21]
39,[],Ohio,[0.94]
40,[],Oklahoma,[1.04]
41,[],Oregon,[0.56]
42,[],Pennsylvania,[1.14]
44,[],Rhode Island,[0.18]
45,[],South Carolina,[1.08]
46,[],South Dakota,[3.3]
47,[],Tennessee,[0.98]
48,[],Texas,[1.17]
49,[],Utah,[0.62]
50,[],Vermont,[1.67]
51,[],Virginia,[0.53]
53,[],Washington,[0.48]
54,[],West Virginia,[2.8]
55,[],Wisconsin,[1.35]
56,[],Wyoming,[0.5]
